Institution,Besuche insgesamt,zahlende Besucherinnen und Besucher,nicht zahlende Besucherinnen und Besucher,Besucherinnen,Besucher,Kinder und Jugendliche,Besuche außerhalb Berlins bei Gastspielen oder Wanderaus- stellungen,Kategorie,Jahr
Humboldt-Box,174000,-,-,-,-,-,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
"Schloss Charlottenburg
(Neuer Pavillon;
Belvedere; Mausoleum)",440862,-,-,255700,185162,-,-,Preußische Schlösser & Gärten,2012
Pfaueninsel,128795,-,-,-,-,-,-,Preußische Schlösser & Gärten,2012
"Park Glienicke
(Schloss; Casino)",7530,-,-,-,-,-,-,Preußische Schlösser & Gärten,2012
"Jagdschloss Grunewald
(Schloss; Jagd-zeugmagazin)",23710,-,-,-,-,-,-,Preußische Schlösser & Gärten,2012
"Schloss
Schönhausen",20111,-,-,-,-,-,-,Preußische Schlösser & Gärten,2012
Stiftung Berliner Mauer,700000,,,369250,330750,-,-,Gedenkstätten,2012
Trägerverein Haus der Wannseekonferenz,110834,,,56693,54141,-,-,Gedenkstätten,2012
Stiftung Gedenkstätte Berlin-Hohenschönhausen,353828,,,-,-,-,-,Gedenkstätten,2012
"Gedenkstätte Deutscher
Widerstand",222950,,,-,-,-,-,Gedenkstätten,2012
Stiftung Topographie des Terrors,947722,,,473861,473861,-,-,Gedenkstätten,2012
Dokumentationszentrum NS-Zwangsarbeit Berlin-Schöneweide,7049,,,3525,3524,-,-,Gedenkstätten,2012
Kunst-Werke Berlin - Institute for Contemporary Art,137760,11153,126607,74390,63370,-,-,Bildende Kunst,2012
Künstlerhaus Bethanien (KHB),22226,,,11020,11020,-,-,Bildende Kunst,2012
Haus am Waldsee e.V.,14143,10464,3679,8050,6093,-,-,Bildende Kunst,2012
Stiftung Zentral- und Landesbibliothek Berlin,1195.432,,,685465,509966,-,-,Archive/Bibliotheken,2012
Landesarchiv Berlin,12. 286 ,,,-,-,-,-,Archive/Bibliotheken,2012
Theater Thikwà,3499,2405,-,-,-,-,,  Basisförderung,2012
SheShePop1),-,-,-,-,-,-,,  Basisförderung,2012
Zeitgenössische Oper Berlin2),-,-,-,-,-,-,,  Basisförderung,2012
Theater auf der Zitadelle,4220,3962,258,-,-,-,,  Basisförderung,2012
Schlossplatztheater,4534,-,-,-,-,-,,  Basisförderung,2012
Theater o.N.,8343,-,-,-,-,-,,  Basisförderung,2012
andcompany & Co,800,400,400,-,-,-,,  Basisförderung,2012
Fliegendes Theater,5288,4974,314,-,-,-,,  Basisförderung,2012
ATZE Musiktheater,73626,67389,6237,-,-,-,,  Basisförderung,2012
Das Weite Theater,8094,7446,648,-,-,-,,  Basisförderung,2012
Das Helmi,1301,1301,0,-,-,-,,  Basisförderung,2012
Platypus Theater,723,635,88,-,-,-,,  Basisförderung,2012
Lubricat,612,537,75,-,-,-,,  Basisförderung,2012
Gob Squad,2237,2041,196,-,-,-,,  Basisförderung,2012
English Theatre Berlin,7106,5147,1959,-,-,-,,  Basisförderung,2012
aufBruch 3),3247,0,3247,-,-,-,,  Basisförderung,2012
Hans Wurst Nachfahren,18413,17413,1000,-,-,-,,  Basisförderung,2012
Novoflot,-,-,-,-,-,-,,  Basisförderung,2012
"Kroesinger, Hans-Werner",1479,-,-,-,-,-,,  Basisförderung,2012
Christoph Winkler,603,478,125,-,-,-,,  Basisförderung,2012
Christina Ciupke,300,136,164,-,-,-,,  Basisförderung,2012
Tanzcompanie Rubato,515,461,54,-,-,-,,  Basisförderung,2012
cie toula limnaios,5314,5281,33,-,-,-,,  Basisförderung,2012
Tanztage Berlin,2044,1798,246,-,-,-,,  Basisförderung,2012
Ballhaus Ost,7681,6054,1627,-,-,-,, Spielstättenförderung,2012
Theaterkapelle4),2900,-,-,-,-,-,, Spielstättenförderung,2012
Heimathafen Neukölln,16238,14588,1650,-,-,-,, Spielstättenförderung,2012
Tanzfabrik Berlin e.V.,5706,3276,2430,-,-,-,, Spielstättenförderung,2012
Dock 11,11787,6421,5366,-,-,-,, Spielstättenförderung,2012
Laborgras,963,511,452,-,-,-,, Spielstättenförderung,2012
ada Studio & Bühne,1077,917,160,-,-,-,, Spielstättenförderung,2012
Deutsches Theater / Kammerspiele,189135,154595,8533,99507,63621,-,26007,Große Sprechbühnen,2013
Volksbühne,175393,148000,7391,85465,69926,-,20002,Große Sprechbühnen,2013
Maxim Gorki Theater,69745,65016,4729,34872,34873,-,-,Große Sprechbühnen,2013
Berliner Ensemble,228207,186158,9884,98021,98021,-,32165,Große Sprechbühnen,2013
"Hebbel am Ufer (HAU 1, 2, 3)",65979,54431,11548,33991,31988,-,-,Große Sprechbühnen,2013
Schaubühne am Lehniner Platz,168235,107515,4793,56154,56154,-,55927,Große Sprechbühnen,2013
Renaissance Theater – Neue Theater Betriebs-GmbH,80702,74971,5731,48422,32280,-,-,Große Sprechbühnen,2013
Theater an der Parkaue,96268,83868,7009,48000,42877,-,5391,Kinder- und Jugendtheater,2013
Grips Theater,91848,81344,4403,42873,42874,-,6101,Kinder- und Jugendtheater,2013
Theater Strahl,18728,17870,858,8428,10300,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2013
